R0 0 6 12 13 14 13 7 8 9 8 7 13 12 18 24 29 28 24 18 17 5 0 1 2 8 7 13 19 18 11 17 5 0
R1 0 1 7 1 12 18 19 20 21 22 23 33 32 27 22 15 22 23 22 27 26 25 24 28 17 5 0
R2 0 6 5 11 18 24 29 30 31 26 25 19 18 11 5 0 1 2 3 10 4 10 16 10 9 3 2 8 14 13 12 6 0
R3 0 1 2 9 15 14 20 26 20 21 22 27 33 32 27 22 21 14 20 21 22 23 10 4 3 9 15 14 15 9 2 1 0
R4 0 5 11 12 13 19 25 30 25 19 13 12 6 12 13 14 21 27 22 27 26 25 26 31 32 33 23 16 15 9 3 2 1 0
