R0 0 2 8 18 8 9 10 14 20 14 15 14 10 4 3 1 0
R1 0 2 8 9 4 5 11 12 13 7 6 5 4 9 8 2 0
R2 0 2 3 4 5 11 12 13 12 11 15 16 15 11 10 9 8 2 0
R3 0 2 8 18 19 20 14 15 11 12 16 17 13 12 11 10 9 8 2 0
R4 0 2 8 9 19 22 21 18 19 20 23 22 19 18 8 2 0
